id	备注	等级	价格	魔方价格	多语言名称	图标	长	宽	高	是否可交互0:不可以，1可以	排序权重	手持道具Id(2201~2255)	增加的经验
1100052	黑白方桌	1	300	3	decoration_name_1100052	set:blockcity_items.json image:g1047_prop_2040	1	1	1	0	52	2667	1
2100053	白落地灯	1	300	3	decoration_name_2100053	set:blockcity_items.json image:g1047_prop_2045	1	1	2	0	53	2672	1
2100054	蓝落地灯	1	300	3	decoration_name_2100054	set:blockcity_items.json image:g1047_prop_2046	1	1	2	0	54	2673	1
2100055	黑落地灯	1	300	3	decoration_name_2100055	set:blockcity_items.json image:g1047_prop_2047	1	1	2	0	55	2674	1
1100056	电风扇	1	300	3	decoration_name_1100056	set:blockcity_items.json image:g1047_prop_2048	1	1	2	1	56	2675	1
3100057	铁晾衣架	1	200	2	decoration_name_3100057	set:blockcity_items.json image:g1047_prop_2049	2	1	2	0	57	2676	1
3100058	木晾衣架	1	200	2	decoration_name_3100058	set:blockcity_items.json image:g1047_prop_2050	2	1	1	0	58	2677	1
2100059	黄色双人床	1	300	3	decoration_name_2100059	set:blockcity_items.json image:g1047_prop_2051	2	3	1	0	59	2678	1
2114060	蓝色双人床	2	300	3	decoration_name_2114060	set:blockcity_items.json image:g1047_prop_2052	2	3	1	1	60	2679	1
2114061	灰色双人床	2	300	3	decoration_name_2114061	set:blockcity_items.json image:g1047_prop_2053	2	3	1	1	61	2680	1
2114062	红单人床	2	200	2	decoration_name_2114062	set:blockcity_items.json image:g1047_prop_2054	1	3	1	1	62	2681	1
2114063	红高低床	2	300	3	decoration_name_2114063	set:blockcity_items.json image:g1047_prop_2055	1	3	2	1	63	2682	1
3115064	秋千	2	300	3	decoration_name_3115064	set:blockcity_items.json image:g1047_prop_1	3	3	3	1	64	2683	1
3116065	跷跷板	3	300	3	decoration_name_3116065	set:blockcity_items.json image:g1047_prop_1	3	1	2	1	65	2684	1
