索引	任务ID	鸟巢格子数量（最低携带位）	鸟巢格子数量（最高携带位）	其他开启条件(多个条件#号分割）	权重	等待时间（s）	接任务NPC	完成条件ID（多个条件#号分割）	奖励(多个用#隔开)	数量	提示图片	按钮显示的内容	显示的标题(#为空)	对话内容(#分页)	领取任务之后对话	完成任务对话
20	99902020	7	7	@@@	10	14400	20001	99900015	9000002	30	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
21	99902021	8	8	@@@	10	14400	20001	99900016	9000002	30	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
22	99902022	9	9	@@@	10	14400	20001	99900017	9000002	30	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
23	99902023	10	10	@@@	10	14400	20001	99900018	9000002	40	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
24	99902024	11	11	@@@	10	14400	20001	99900019	9000002	40	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
25	99902025	12	12	@@@	10	14400	20001	99900020	9000002	40	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
26	99902026	13	13	@@@	10	14400	20001	99900021	9000002	40	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
27	99902027	14	14	@@@	10	14400	20001	99900022	9000002	50	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
28	99902028	15	15	@@@	10	14400	20001	99900023	9000002	50	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
29	99902029	16	16	@@@	10	14400	20001	99900024	9000002	50	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
