id	商品类型（1食物，果币，抽蛋票，2特权，3小鸟装饰）	商品id	子id	数量	所属商品组ID	是否自动装上(0不装上，1自动装上)	提示图片	商品名称多语言	注释
23	3	820020	0	1	808	0	set:bird_icon.json image:hat_20	teamname_808	绅士
24	3	820021	0	1	809	0	set:bird_icon.json image:hat_21	teamname_809	孔雀
25	3	820022	0	1	810	0	set:bird_icon.json image:hat_22	teamname_810	奋斗
26	3	820023	0	1	811	0	set:bird_icon.json image:hat_23	teamname_811	天使
27	3	820024	0	1	812	0	set:bird_icon.json image:hat_24	teamname_812	机器
28	3	820025	0	1	813	0	set:bird_icon.json image:hat_25	teamname_813	羽毛
29	3	820026	0	1	814	0	set:bird_icon.json image:hat_26	teamname_814	蛋糕
30	3	820027	0	1	815	0	set:bird_icon.json image:hat_27	teamname_815	草帽
31	3	820028	0	1	816	0	set:bird_icon.json image:hat_28	teamname_816	绿毛
32	3	820029	0	1	817	0	set:bird_icon.json image:hat_29	teamname_817	龙角
33	3	860001	0	1	701	0	set:bird_icon.json image:tail_effect_1	teamname_701	特效1
34	3	860002	0	1	702	0	set:bird_icon.json image:tail_effect_2	teamname_702	特效2
35	3	860003	0	1	703	0	set:bird_icon.json image:tail_effect_3	teamname_703	特效3
36	3	860004	0	1	704	0	set:bird_icon.json image:tail_effect_4	teamname_704	特效4
37	3	860005	0	1	705	0	set:bird_icon.json image:tail_effect_5	teamname_705	特效5
38	3	860006	0	1	706	0	set:bird_icon.json image:tail_effect_6	teamname_706	特效6
39	3	860007	0	1	707	0	set:bird_icon.json image:tail_effect_7	teamname_707	特效7
40	3	860008	0	1	708	0	set:bird_icon.json image:tail_effect_8	teamname_708	特效8
41	3	860009	0	1	709	0	set:bird_icon.json image:tail_effect_9	teamname_709	特效9
42	3	860010	0	1	710	0	set:bird_icon.json image:tail_effect_10	teamname_710	特效10
43	3	860011	0	1	711	0	set:bird_icon.json image:tail_effect_11	teamname_711	特效11
44	3	860012	0	1	712	0	set:bird_icon.json image:tail_effect_12	teamname_712	特效12
45	3	860013	0	1	713	0	set:bird_icon.json image:tail_effect_13	teamname_713	特效13
46	3	860014	0	1	714	0	set:bird_icon.json image:tail_effect_14	teamname_714	特效14
47	3	860015	0	1	715	0	set:bird_icon.json image:tail_effect_15	teamname_715	特效15
48	3	860016	0	1	716	0	set:bird_icon.json image:tail_effect_16	teamname_716	特效16
49	3	860017	0	1	717	0	set:bird_icon.json image:tail_effect_17	teamname_717	特效17
50	3	860018	0	1	718	0	set:bird_icon.json image:tail_effect_18	teamname_718	特效18
51	3	860019	0	1	719	0	set:bird_icon.json image:tail_effect_19	teamname_719	特效19
52	1	1041001	0	100	601	0	set:bird_icon.json image:storeitem_04	teamname_601	饼干
53	1	1041003	0	100	602	0	set:bird_icon.json image:storeitem_08	teamname_602	香蕉
54	1	1041004	0	100	603	0	set:bird_icon.json image:storeitem_06	teamname_603	西瓜
55	1	1041005	0	100	604	0	set:bird_icon.json image:storeitem_10	teamname_604	葡萄
56	1	1041006	0	100	605	0	set:bird_icon.json image:storeitem_11	teamname_605	奇异果
57	1	1041009	0	100	606	0	set:bird_icon.json image:storeitem_09	teamname_606	蓝莓
58	1	1041010	0	100	607	0	set:bird_icon.json image:storeitem_07	teamname_607	桃子
59	2	10001	0	1	501	0	set:bird_icon.json image:storeitem_12	teamname_501	宝箱1
60	2	10002	0	1	502	0	set:bird_icon.json image:storeitem_13	teamname_502	宝箱2
61	2	10003	0	1	503	0	set:bird_icon.json image:storeitem_14	teamname_503	可进入VIP区域
62	2	10004	0	1	504	0	set:bird_icon.json image:storeitem_15	teamname_504	玩家采集量增加20%
63	2	10005	0	1	505	0	set:bird_icon.json image:storeitem_16	teamname_505	小鸟转换果币的量增加50%
64	2	10006	0	1	506	0	set:bird_icon.json image:storeitem_17	teamname_506	玩家基础生命值增加100%
65	1	9000002	0	10	401	0	set:bird_icon.json image:xinshoulibao_02	teamname_9999	抽蛋票
66	1	9000002	0	100	402	0	set:bird_icon.json image:xinshoulibao_02	teamname_9999	抽蛋票
67	1	9000002	0	500	403	0	set:bird_icon.json image:xinshoulibao_02	teamname_9999	抽蛋票
68	1	9000002	0	3000	404	0	set:bird_icon.json image:xinshoulibao_02	teamname_9999	抽蛋票
69	1	9000001	0	5000	405	0	set:bird_icon.json image:xinshoulibao_01	teamname_9999	果币
70	1	9000001	0	50000	406	0	set:bird_icon.json image:xinshoulibao_01	teamname_9999	果币
71	1	9000001	0	500000	407	0	set:bird_icon.json image:xinshoulibao_01	teamname_9999	果币
72	1	9000001	0	5000000	408	0	set:bird_icon.json image:xinshoulibao_01	teamname_9999	果币
