索引	id	类型	任务参数1	任务参数2	任务参数3	描述
44	10402011	2	208	800	@@@	@@@
45	20401051	1	4003#4007	2	@@@	@@@
46	20422061	22	@@@	470	3	@@@
47	20421061	21	@@@	530	@@@	@@@
48	20407051	7	1041006	5	@@@	@@@
49	10402021	2	104	1200	@@@	@@@
50	20401061	1	4002#4006	2	@@@	@@@
51	20422071	22	@@@	540	4	@@@
52	20421071	21	@@@	610	@@@	@@@
53	20407061	7	1041003	10	@@@	@@@
54	10402031	2	105	1600	@@@	@@@
55	20401071	1	4004#4008	2	@@@	@@@
56	20422081	22	@@@	610	2	@@@
57	20421081	21	@@@	680	@@@	@@@
58	20407071	7	1041004	10	@@@	@@@
59	10402041	2	206	2200	@@@	@@@
60	20401081	1	4001#4005	2	@@@	@@@
61	20422091	22	@@@	680	1	@@@
62	20421091	21	@@@	760	@@@	@@@
63	20407081	7	1041005	10	@@@	@@@
64	10505011	5	@@@	5	@@@	@@@
65	20501011	1	4003#4007	3	@@@	@@@
66	20522011	22	@@@	750	3	@@@
67	20521011	21	@@@	840	@@@	@@@
68	20507011	7	1041001	40	@@@	@@@
69	10523011	23	66006#66007#66008#66009#66001#66002#66003#66004#66005	5	@@@	@@@
70	20501021	1	4009	1	@@@	@@@
71	20522021	22	@@@	680	4	@@@
72	20521021	21	@@@	760	@@@	@@@
73	20507021	7	1041009	5	@@@	@@@
74	10506011	6	5	2	@@@	@@@
75	20501031	1	4001#4005	3	@@@	@@@
76	20522031	22	@@@	700	2	@@@
77	20521031	21	@@@	780	@@@	@@@
78	20507031	7	1041003	15	@@@	@@@
79	10502011	2	207	3000	@@@	@@@
80	20501041	1	4003#4007	4	@@@	@@@
81	20522041	22	@@@	730	1	@@@
82	20521041	21	@@@	820	@@@	@@@
83	20507041	7	1041001	60	@@@	@@@
84	10502021	2	208	2400	@@@	@@@
85	20501051	1	4002#4006	3	@@@	@@@
86	20522051	22	@@@	750	3	@@@
87	20521051	21	@@@	840	@@@	@@@
88	20507051	7	1041005	15	@@@	@@@
89	10502031	2	206	2500	@@@	@@@
90	20501061	1	4004#4008	3	@@@	@@@
91	20522061	22	@@@	790	4	@@@
92	20521061	21	@@@	880	@@@	@@@
93	20507061	7	1041006	10	@@@	@@@
94	10502041	2	105	1900	@@@	@@@
95	20501071	1	4009	1	@@@	@@@
96	20522071	22	@@@	820	2	@@@
97	20521071	21	@@@	920	@@@	@@@
98	20507071	7	1041009	10	@@@	@@@
99	10506021	6	6	1	@@@	@@@
100	20501081	1	4001#4005	4	@@@	@@@
101	20522081	22	@@@	840	1	@@@
102	20521081	21	@@@	940	@@@	@@@
103	20507081	7	1041001	80	@@@	@@@
104	10502051	2	207	2800	@@@	@@@
105	20501091	1	4003#4007	5	@@@	@@@
106	20522091	22	@@@	870	3	@@@
107	20521091	21	@@@	970	@@@	@@@
108	20507091	7	1041004	15	@@@	@@@
109	10502061	2	102	2000	@@@	@@@
110	20501101	1	4002#4006	4	@@@	@@@
111	20522101	22	@@@	900	4	@@@
112	20521101	21	@@@	1000	@@@	@@@
113	20507101	7	1041005	20	@@@	@@@
114	10502071	2	104	2100	@@@	@@@
115	20501111	1	4004#4008	4	@@@	@@@
116	20522111	22	@@@	930	2	@@@
117	20521111	21	@@@	1040	@@@	@@@
118	20507111	7	1041006	15	@@@	@@@
119	10502081	2	103	2200	@@@	@@@
120	20501121	1	4009	1	@@@	@@@
121	20522121	22	@@@	960	1	@@@
122	20521121	21	@@@	1070	@@@	@@@
123	20507121	7	1041001	100	@@@	@@@
124	10605011	5	@@@	6	@@@	@@@
125	20601011	1	4001#4005	5	@@@	@@@
126	20622011	22	@@@	1050	3	@@@
127	20621011	21	@@@	1170	@@@	@@@
128	20607011	7	1041003	20	@@@	@@@
129	10606011	6	6	4	@@@	@@@
130	20601021	1	4003#4007	6	@@@	@@@
131	20622021	22	@@@	1240	4	@@@
132	20621021	21	@@@	1380	@@@	@@@
133	20607021	7	1041004	20	@@@	@@@
134	10602011	2	101	3200	@@@	@@@
135	20601031	1	4002#4006	5	@@@	@@@
136	20622031	22	@@@	1370	2	@@@
137	20621031	21	@@@	1530	@@@	@@@
138	20607031	7	1041005	25	@@@	@@@
139	10602021	2	208	4900	@@@	@@@
140	20601041	1	4004#4008	5	@@@	@@@
141	20622041	22	@@@	1510	1	@@@
142	20621041	21	@@@	1680	@@@	@@@
143	20607041	7	1041006	20	@@@	@@@
144	10602031	2	206	5300	@@@	@@@
145	20601051	1	4009	2	@@@	@@@
146	20622051	22	@@@	1650	3	@@@
147	20621051	21	@@@	1840	@@@	@@@
148	20607051	7	1041009	15	@@@	@@@
149	10602041	2	105	4100	@@@	@@@
150	20601061	1	4001#4005	6	@@@	@@@
151	20622061	22	@@@	1800	4	@@@
152	20621061	21	@@@	2000	@@@	@@@
153	20607061	7	1041001	120	@@@	@@@
154	10606021	6	7	2	@@@	@@@
155	20601071	1	4003#4007	7	@@@	@@@
156	20622071	22	@@@	1930	2	@@@
157	20621071	21	@@@	2150	@@@	@@@
158	20607071	7	1041004	25	@@@	@@@
159	10602051	2	207	6700	@@@	@@@
160	20601081	1	4002#4006	6	@@@	@@@
161	20622081	22	@@@	2070	1	@@@
162	20621081	21	@@@	2300	@@@	@@@
163	20607081	7	1041005	30	@@@	@@@
164	10602061	2	102	5100	@@@	@@@
165	20601091	1	4004#4008	6	@@@	@@@
166	20622091	22	@@@	2200	3	@@@
167	20621091	21	@@@	2450	@@@	@@@
168	20607091	7	1041006	25	@@@	@@@
169	10602071	2	104	5400	@@@	@@@
170	20601101	1	4009	2	@@@	@@@
171	20622101	22	@@@	2340	4	@@@
172	20621101	21	@@@	2600	@@@	@@@
173	20607101	7	1041009	20	@@@	@@@
174	10602081	2	103	5700	@@@	@@@
175	20601111	1	4001#4005	7	@@@	@@@
176	20622111	22	@@@	2480	2	@@@
177	20621111	21	@@@	2760	@@@	@@@
178	20607111	7	1041003	25	@@@	@@@
179	10705011	5	@@@	7	@@@	@@@
180	20701011	1	4003#4007	8	@@@	@@@
181	20722011	22	@@@	2730	1	@@@
182	20721011	21	@@@	3040	@@@	@@@
183	20707011	7	1041004	30	@@@	@@@
184	10706011	6	8	1	@@@	@@@
185	20701021	1	4002#4006	7	@@@	@@@
186	20722021	22	@@@	2760	3	@@@
187	20721021	21	@@@	3070	@@@	@@@
188	20707021	7	1041005	35	@@@	@@@
189	10702011	2	101	7600	@@@	@@@
190	20701031	1	4004#4008	7	@@@	@@@
191	20722031	22	@@@	3310	4	@@@
192	20721031	21	@@@	3680	@@@	@@@
193	20707031	7	1041006	30	@@@	@@@
194	10702021	2	208	12500	@@@	@@@
195	20701041	1	4009	3	@@@	@@@
196	20722041	22	@@@	3870	2	@@@
197	20721041	21	@@@	4300	@@@	@@@
198	20707041	7	1041009	25	@@@	@@@
199	10702031	2	206	14300	@@@	@@@
200	20701051	1	4001#4005	8	@@@	@@@
201	20722051	22	@@@	4410	1	@@@
202	20721051	21	@@@	4910	@@@	@@@
203	20707051	7	1041001	140	@@@	@@@
204	10702041	2	105	11500	@@@	@@@
205	20701061	1	4003#4007	9	@@@	@@@
206	20722061	22	@@@	4960	3	@@@
207	20721061	21	@@@	5520	@@@	@@@
208	20707061	7	1041004	35	@@@	@@@
209	10706021	6	8	4	@@@	@@@
210	20701071	1	4002#4006	8	@@@	@@@
211	20722071	22	@@@	5520	4	@@@
212	20721071	21	@@@	6140	@@@	@@@
213	20707071	7	1041005	40	@@@	@@@
214	10702051	2	207	19700	@@@	@@@
215	20701081	1	4004#4008	8	@@@	@@@
216	20722081	22	@@@	6080	2	@@@
217	20721081	21	@@@	6760	@@@	@@@
218	20707081	7	1041006	35	@@@	@@@
219	10702061	2	102	15300	@@@	@@@
220	20701091	1	4009	3	@@@	@@@
221	20722091	22	@@@	6630	1	@@@
222	20721091	21	@@@	7370	@@@	@@@
223	20707091	7	1041009	30	@@@	@@@
224	10702071	2	104	16600	@@@	@@@
225	20701101	1	4001#4005	9	@@@	@@@
226	20722101	22	@@@	7180	3	@@@
227	20721101	21	@@@	7980	@@@	@@@
228	20707101	7	1041004	40	@@@	@@@
229	10702081	2	103	17900	@@@	@@@
230	20701111	1	4003#4007	10	@@@	@@@
231	20722111	22	@@@	7740	4	@@@
232	20721111	21	@@@	8600	@@@	@@@
233	20707111	7	1041001	160	@@@	@@@
234	10805011	5	@@@	8	@@@	@@@
235	20801011	1	4010	1	@@@	@@@
236	20822011	22	@@@	8510	2	@@@
237	20821011	21	@@@	9460	@@@	@@@
238	20807011	7	1041006	40	@@@	@@@
239	10806011	6	9	1	@@@	@@@
240	20801021	1	4001#4005	10	@@@	@@@
241	20822021	22	@@@	8280	1	@@@
242	20821021	21	@@@	9210	@@@	@@@
243	20807021	7	1041009	35	@@@	@@@
244	10802011	2	101	23000	@@@	@@@
245	20801031	1	4003#4007	11	@@@	@@@
246	20822031	22	@@@	9940	3	@@@
247	20821031	21	@@@	11050	@@@	@@@
248	20807031	7	1041003	30	@@@	@@@
249	10802021	2	309	48300	@@@	@@@
250	20801041	1	4002#4006	9	@@@	@@@
251	20822041	22	@@@	11610	4	@@@
252	20821041	21	@@@	12900	@@@	@@@
253	20807041	7	1041004	45	@@@	@@@
254	10802031	2	206	43000	@@@	@@@
255	20801051	1	4004#4008	9	@@@	@@@
256	20822051	22	@@@	13260	2	@@@
257	20821051	21	@@@	14740	@@@	@@@
258	20807051	7	1041001	180	@@@	@@@
259	10802041	2	105	34500	@@@	@@@
260	20801061	1	4009	4	@@@	@@@
261	20822061	22	@@@	14930	1	@@@
262	20821061	21	@@@	16590	@@@	@@@
263	20807061	7	1041006	45	@@@	@@@
264	10806021	6	9	3	@@@	@@@
265	20801071	1	4010	1	@@@	@@@
266	20822071	22	@@@	16580	3	@@@
267	20821071	21	@@@	18430	@@@	@@@
268	20807071	7	1041009	40	@@@	@@@
269	10802051	2	309	76000	@@@	@@@
270	20801081	1	4001#4005	11	@@@	@@@
271	20822081	22	@@@	18240	4	@@@
272	20821081	21	@@@	20270	@@@	@@@
273	20807081	7	1041010	5	@@@	@@@
274	10802061	2	102	46000	@@@	@@@
275	20801091	1	4003#4007	12	@@@	@@@
276	20822091	22	@@@	19900	2	@@@
277	20821091	21	@@@	22120	@@@	@@@
278	20807091	7	1041003	35	@@@	@@@
279	10802071	2	309	89800	@@@	@@@
280	20801101	1	4002#4006	10	@@@	@@@
281	20822101	22	@@@	21560	1	@@@
282	20821101	21	@@@	23960	@@@	@@@
283	20807101	7	1041004	50	@@@	@@@
284	10802081	2	103	53700	@@@	@@@
285	20801111	1	4004#4008	10	@@@	@@@
286	20822111	22	@@@	23220	3	@@@
287	20821111	21	@@@	25800	@@@	@@@
288	20807111	7	1041001	200	@@@	@@@
289	10905011	5	@@@	9	@@@	@@@
290	20901011	1	4009	4	@@@	@@@
291	20922011	22	@@@	25550	4	@@@
292	20921011	21	@@@	28390	@@@	@@@
293	20907011	7	1041006	50	@@@	@@@
294	10906011	6	10	2	@@@	@@@
295	20901021	1	4010	1	@@@	@@@
296	20922021	22	@@@	24870	2	@@@
297	20921021	21	@@@	27640	@@@	@@@
298	20907021	7	1041009	45	@@@	@@@
299	10902011	2	101	62400	@@@	@@@
300	20901031	1	4001#4005	12	@@@	@@@
301	20922031	22	@@@	26950	1	@@@
302	20921031	21	@@@	29950	@@@	@@@
303	20907031	7	1041001	220	@@@	@@@
304	10902021	2	208	94000	@@@	@@@
305	20901041	1	4003#4007	12	@@@	@@@
306	20922041	22	@@@	29020	3	@@@
307	20921041	21	@@@	32250	@@@	@@@
308	20907041	7	1041003	40	@@@	@@@
309	10902031	2	309	129600	@@@	@@@
310	20901051	1	4002#4006	11	@@@	@@@
311	20922051	22	@@@	31100	4	@@@
312	20921051	21	@@@	34560	@@@	@@@
313	20907051	7	1041004	55	@@@	@@@
314	10902041	2	105	76800	@@@	@@@
315	20901061	1	4004#4008	11	@@@	@@@
316	20922061	22	@@@	33170	2	@@@
317	20921061	21	@@@	36860	@@@	@@@
318	20907061	7	1041005	45	@@@	@@@
319	10906021	6	10	5	@@@	@@@
320	20901071	1	4009	5	@@@	@@@
321	20922071	22	@@@	35240	1	@@@
322	20921071	21	@@@	39160	@@@	@@@
323	20907071	7	1041006	55	@@@	@@@
324	10902051	2	207	120900	@@@	@@@
325	20901081	1	4010	2	@@@	@@@
326	20922081	22	@@@	37320	3	@@@
327	20921081	21	@@@	41470	@@@	@@@
328	20907081	7	1041009	50	@@@	@@@
329	10902061	2	309	164100	@@@	@@@
330	20901091	1	4001#4005	12	@@@	@@@
331	20922091	22	@@@	39390	4	@@@
332	20921091	21	@@@	43770	@@@	@@@
333	20907091	7	1041010	10	@@@	@@@
334	10902071	2	104	96000	@@@	@@@
335	20901101	1	4003#4007	12	@@@	@@@
336	20922101	22	@@@	41470	2	@@@
337	20921101	21	@@@	46080	@@@	@@@
338	20907101	7	1041001	240	@@@	@@@
339	10902081	2	103	100800	@@@	@@@
340	20901111	1	4002#4006	12	@@@	@@@
341	20922111	22	@@@	43540	1	@@@
342	20921111	21	@@@	48380	@@@	@@@
343	20907111	7	1041004	60	@@@	@@@
344	11005011	5	@@@	10	@@@	@@@
345	21001011	1	4004#4008	12	@@@	@@@
346	21022011	22	@@@	47890	3	@@@
347	21021011	21	@@@	53220	@@@	@@@
348	21007011	7	1041005	50	@@@	@@@
349	11006011	6	11	1	@@@	@@@
350	21001021	1	4009	5	@@@	@@@
351	21022021	22	@@@	41470	4	@@@
352	21021021	21	@@@	46080	@@@	@@@
353	21007021	7	1041006	60	@@@	@@@
354	11002011	2	410	193900	@@@	@@@
355	21001031	1	4010	2	@@@	@@@
356	21022031	22	@@@	41880	2	@@@
357	21021031	21	@@@	46540	@@@	@@@
358	21007031	7	1041009	55	@@@	@@@
359	11002021	2	411	195800	@@@	@@@
360	21001041	1	4001#4005	12	@@@	@@@
361	21022041	22	@@@	42300	1	@@@
362	21021041	21	@@@	47000	@@@	@@@
363	21007041	7	1041010	15	@@@	@@@
364	11002031	2	412	197700	@@@	@@@
365	21001051	1	4003#4007	12	@@@	@@@
366	21022051	22	@@@	42710	3	@@@
367	21021051	21	@@@	47460	@@@	@@@
368	21007051	7	1041003	45	@@@	@@@
369	11002041	2	413	199600	@@@	@@@
370	21001061	1	4002#4006	12	@@@	@@@
371	21022061	22	@@@	43120	4	@@@
372	21021061	21	@@@	47920	@@@	@@@
373	21007061	7	1041001	260	@@@	@@@
374	11006021	6	11	3	@@@	@@@
375	21001071	1	4004#4008	12	@@@	@@@
376	21022071	22	@@@	43540	2	@@@
377	21021071	21	@@@	48380	@@@	@@@
378	21007071	7	1041005	55	@@@	@@@
379	11002051	2	207	142400	@@@	@@@
380	21001081	1	4009	6	@@@	@@@
381	21022081	22	@@@	43950	1	@@@
382	21021081	21	@@@	48840	@@@	@@@
383	21007081	7	1041006	65	@@@	@@@
384	11002061	2	309	184800	@@@	@@@
385	21001091	1	4010	3	@@@	@@@
386	21022091	22	@@@	44370	3	@@@
387	21021091	21	@@@	49300	@@@	@@@
388	21007091	7	1041009	60	@@@	@@@
389	11002071	2	104	103600	@@@	@@@
390	21001101	1	4001#4005	12	@@@	@@@
391	21022101	22	@@@	44780	4	@@@
392	21021101	21	@@@	49760	@@@	@@@
393	21007101	7	1041010	20	@@@	@@@
394	11002081	2	103	104600	@@@	@@@
395	21001111	1	4003#4007	12	@@@	@@@
396	21022111	22	@@@	45190	2	@@@
397	21021111	21	@@@	50220	@@@	@@@
398	21007111	7	1041003	50	@@@	@@@
399	11002091	2	309	190000	@@@	@@@
400	21001121	1	4002#4006	12	@@@	@@@
401	21022121	22	@@@	45610	1	@@@
402	21021121	21	@@@	50680	@@@	@@@
403	21007121	7	1041001	280	@@@	@@@
404	11006031	6	11	6	@@@	@@@
405	21001131	1	4004#4008	12	@@@	@@@
406	21022131	22	@@@	46030	3	@@@
407	21021131	21	@@@	51150	@@@	@@@
408	21007131	7	1041005	60	@@@	@@@
409	11002101	2	101	107500	@@@	@@@
410	21001141	1	4009	6	@@@	@@@
411	21022141	22	@@@	46440	4	@@@
412	21021141	21	@@@	51600	@@@	@@@
413	21007141	7	1041006	70	@@@	@@@
414	11002111	2	208	151800	@@@	@@@
415	21001151	1	4010	3	@@@	@@@
416	21022151	22	@@@	46860	2	@@@
417	21021151	21	@@@	52070	@@@	@@@
418	21007151	7	1041001	300	@@@	@@@
419	11002121	2	309	196900	@@@	@@@
420	21001161	1	4001#4005	12	@@@	@@@
421	21022161	22	@@@	47260	1	@@@
422	21021161	21	@@@	52520	@@@	@@@
423	21007161	7	1041010	25	@@@	@@@
424	11002131	2	105	110400	@@@	@@@
425	21001171	1	4003#4007	12	@@@	@@@
426	21022171	22	@@@	47690	3	@@@
427	21021171	21	@@@	52990	@@@	@@@
428	21007171	7	1041003	55	@@@	@@@
429	11006041	6	12	2	@@@	@@@
430	21001181	1	4002#4006	12	@@@	@@@
431	21022181	22	@@@	48100	4	@@@
432	21021181	21	@@@	53450	@@@	@@@
433	21007181	7	1041004	65	@@@	@@@
434	11002141	2	410	224600	@@@	@@@
435	21001191	1	4004#4008	12	@@@	@@@
436	21022191	22	@@@	48510	2	@@@
437	21021191	21	@@@	53910	@@@	@@@
438	21007191	7	1041005	65	@@@	@@@
439	11002151	2	411	226500	@@@	@@@
440	21001201	1	4009	6	@@@	@@@
441	21022201	22	@@@	48930	1	@@@
442	21021201	21	@@@	54370	@@@	@@@
443	21007201	7	1041001	320	@@@	@@@
444	11002161	2	412	228400	@@@	@@@
445	21001211	1	4010	4	@@@	@@@
446	21022211	22	@@@	49340	3	@@@
447	21021211	21	@@@	54830	@@@	@@@
448	21007211	7	1041009	65	@@@	@@@
449	11002171	2	413	230400	@@@	@@@
450	21001221	1	4001#4005	12	@@@	@@@
451	21022221	22	@@@	49760	4	@@@
452	21021221	21	@@@	55290	@@@	@@@
453	21007221	7	1041010	30	@@@	@@@
454	11105011	5	@@@	11	@@@	@@@
455	21101011	1	4003#4007	12	@@@	@@@
456	21122011	22	@@@	54730	2	@@@
457	21121011	21	@@@	60820	@@@	@@@
458	21107011	7	1041003	60	@@@	@@@
459	11106011	6	12	5	@@@	@@@
460	21101021	1	4002#4006	12	@@@	@@@
461	21122021	22	@@@	51140	1	@@@
462	21121021	21	@@@	56830	@@@	@@@
463	21107021	7	1041004	70	@@@	@@@
464	11102011	2	101	121600	@@@	@@@
465	21101031	1	4004#4008	12	@@@	@@@
466	21122031	22	@@@	52520	3	@@@
467	21121031	21	@@@	58360	@@@	@@@
468	21107031	7	1041005	70	@@@	@@@
469	11102021	2	208	174700	@@@	@@@
470	21101041	1	4009	6	@@@	@@@
471	21122041	22	@@@	53910	4	@@@
472	21121041	21	@@@	59900	@@@	@@@
473	21107041	7	1041006	75	@@@	@@@
474	11102031	2	410	256000	@@@	@@@
475	21101051	1	4001#4005	12	@@@	@@@
476	21122051	22	@@@	55290	1	@@@
477	21121051	21	@@@	61440	@@@	@@@
478	21107051	7	1041001	340	@@@	@@@
479	11102041	2	411	262400	@@@	@@@
480	21101061	1	4003#4007	12	@@@	@@@
481	21122061	22	@@@	56670	3	@@@
482	21121061	21	@@@	62970	@@@	@@@
483	21107061	7	1041003	65	@@@	@@@
484	11102051	2	309	241900	@@@	@@@
485	21101071	1	4002#4006	12	@@@	@@@
486	21122071	22	@@@	58050	4	@@@
487	21121071	21	@@@	64510	@@@	@@@
488	21107071	7	1041004	75	@@@	@@@
489	11102061	2	413	275200	@@@	@@@
490	21101081	1	4004#4008	12	@@@	@@@
491	21122081	22	@@@	59430	2	@@@
492	21121081	21	@@@	66040	@@@	@@@
493	21107081	7	1041005	75	@@@	@@@
494	11102071	2	207	197100	@@@	@@@
495	21101091	1	4009	6	@@@	@@@
496	21122091	22	@@@	60820	1	@@@
497	21121091	21	@@@	67580	@@@	@@@
498	21107091	7	1041006	80	@@@	@@@
499	11102081	2	102	144000	@@@	@@@
500	21101101	1	4010	4	@@@	@@@
501	21122101	22	@@@	62200	3	@@@
502	21121101	21	@@@	69120	@@@	@@@
503	21107101	7	1041009	70	@@@	@@@
504	11102091	2	309	264900	@@@	@@@
505	21101111	1	4001#4005	12	@@@	@@@
506	21122111	22	@@@	63580	4	@@@
507	21121111	21	@@@	70650	@@@	@@@
508	21107111	7	1041010	35	@@@	@@@
509	11102101	2	103	150400	@@@	@@@
510	21101121	1	4003#4007	12	@@@	@@@
511	21122121	22	@@@	64970	2	@@@
512	21121121	21	@@@	72190	@@@	@@@
513	21107121	7	1041003	70	@@@	@@@
514	11102111	2	413	307200	@@@	@@@
515	21101131	1	4002#4006	12	@@@	@@@
516	21122131	22	@@@	66340	1	@@@
517	21121131	21	@@@	73720	@@@	@@@
518	21107131	7	1041004	80	@@@	@@@
519	11102121	2	207	219500	@@@	@@@
520	21101141	1	4004#4008	12	@@@	@@@
521	21122141	22	@@@	67730	3	@@@
522	21121141	21	@@@	75260	@@@	@@@
523	21107141	7	1041005	80	@@@	@@@
524	11102131	2	102	160000	@@@	@@@
525	21101151	1	4009	6	@@@	@@@
526	21122151	22	@@@	69120	4	@@@
527	21121151	21	@@@	76800	@@@	@@@
528	21107151	7	1041006	85	@@@	@@@
529	11102141	2	206	228400	@@@	@@@
530	21101161	1	4010	5	@@@	@@@
531	21122161	22	@@@	70490	2	@@@
532	21121161	21	@@@	78330	@@@	@@@
533	21107161	7	1041009	75	@@@	@@@
534	11102151	2	105	166400	@@@	@@@
535	21101171	1	4001#4005	12	@@@	@@@
536	21122171	22	@@@	71880	1	@@@
537	21121171	21	@@@	79870	@@@	@@@
538	21107171	7	1041010	40	@@@	@@@
539	11106021	6	13	2	@@@	@@@
540	21101181	1	4003#4007	12	@@@	@@@
541	21122181	22	@@@	73260	3	@@@
542	21121181	21	@@@	81400	@@@	@@@
543	21107181	7	1041003	75	@@@	@@@
544	11102161	2	207	241900	@@@	@@@
545	21101191	1	4002#4006	12	@@@	@@@
546	21122191	22	@@@	74640	4	@@@
547	21121191	21	@@@	82940	@@@	@@@
548	21107191	7	1041004	85	@@@	@@@
549	11102171	2	102	176000	@@@	@@@
550	21101201	1	4004#4008	12	@@@	@@@
551	21122201	22	@@@	76030	2	@@@
552	21121201	21	@@@	84480	@@@	@@@
553	21107201	7	1041005	85	@@@	@@@
554	11102181	2	309	322500	@@@	@@@
555	21101211	1	4009	6	@@@	@@@
556	21122211	22	@@@	77400	1	@@@
557	21121211	21	@@@	86010	@@@	@@@
558	21107211	7	1041006	90	@@@	@@@
559	11102191	2	103	182400	@@@	@@@
560	21101221	1	4010	5	@@@	@@@
561	21122221	22	@@@	78790	3	@@@
562	21121221	21	@@@	87550	@@@	@@@
563	21107221	7	1041009	80	@@@	@@@
564	11205011	5	@@@	12	@@@	@@@
565	21201011	1	4001#4005	12	@@@	@@@
566	21222011	22	@@@	86670	4	@@@
567	21221011	21	@@@	96300	@@@	@@@
568	21207011	7	1041001	360	@@@	@@@
569	11206011	6	13	5	@@@	@@@
570	21201021	1	4003#4007	12	@@@	@@@
571	21222021	22	@@@	80170	2	@@@
572	21221021	21	@@@	89080	@@@	@@@
573	21207021	7	1041003	80	@@@	@@@
574	11202011	2	410	377600	@@@	@@@
575	21201031	1	4002#4006	12	@@@	@@@
576	21222031	22	@@@	81550	1	@@@
577	21221031	21	@@@	90620	@@@	@@@
578	21207031	7	1041004	90	@@@	@@@
579	11202021	2	411	384000	@@@	@@@
580	21201041	1	4004#4008	12	@@@	@@@
581	21222041	22	@@@	82940	3	@@@
582	21221041	21	@@@	92160	@@@	@@@
583	21207041	7	1041005	90	@@@	@@@
584	11202031	2	309	351300	@@@	@@@
585	21201051	1	4009	6	@@@	@@@
586	21222051	22	@@@	84320	4	@@@
587	21221051	21	@@@	93690	@@@	@@@
588	21207051	7	1041006	95	@@@	@@@
589	11202041	2	413	396800	@@@	@@@
590	21201061	1	4010	6	@@@	@@@
591	21222061	22	@@@	85700	2	@@@
592	21221061	21	@@@	95230	@@@	@@@
593	21207061	7	1041001	380	@@@	@@@
594	11206021	6	14	2	@@@	@@@
595	21201071	1	4001#4005	12	@@@	@@@
596	21222071	22	@@@	87080	1	@@@
597	21221071	21	@@@	96760	@@@	@@@
598	21207071	7	1041010	45	@@@	@@@
599	11202051	2	410	409600	@@@	@@@
600	21201081	1	4003#4007	12	@@@	@@@
601	21222081	22	@@@	88470	3	@@@
602	21221081	21	@@@	98300	@@@	@@@
603	21207081	7	1041003	85	@@@	@@@
604	11202061	2	411	416000	@@@	@@@
605	21201091	1	4002#4006	12	@@@	@@@
606	21222091	22	@@@	89850	4	@@@
607	21221091	21	@@@	99840	@@@	@@@
608	21207091	7	1041004	95	@@@	@@@
609	11202071	2	412	422400	@@@	@@@
610	21201101	1	4004#4008	12	@@@	@@@
611	21222101	22	@@@	91230	2	@@@
612	21221101	21	@@@	101370	@@@	@@@
613	21207101	7	1041005	95	@@@	@@@
614	11202081	2	413	428800	@@@	@@@
615	21201111	1	4009	6	@@@	@@@
616	21222111	22	@@@	92610	1	@@@
617	21221111	21	@@@	102910	@@@	@@@
618	21207111	7	1041006	100	@@@	@@@
619	11202091	2	413	435200	@@@	@@@
620	21201121	1	4010	6	@@@	@@@
621	21222121	22	@@@	93990	3	@@@
622	21221121	21	@@@	104440	@@@	@@@
623	21207121	7	1041009	85	@@@	@@@
624	11206031	6	14	6	@@@	@@@
625	21201131	1	4001#4005	12	@@@	@@@
626	21222131	22	@@@	95380	4	@@@
627	21221131	21	@@@	105980	@@@	@@@
628	21207131	7	1041010	50	@@@	@@@
