id	类型(1.模板, 2.方块, 3.装饰)	唯一id	数量	备注
96	2	311400	5	暗砖楼梯
97	2	312800	5	砂石楼梯
98	2	305300	5	橡木楼梯
99	2	313400	5	云杉木楼梯
100	2	313500	5	桦树木楼梯
101	2	313600	5	丛林木楼梯
102	2	316400	5	暗橡木楼梯
103	2	304400	5	石板
104	2	404407	5	石英板
105	2	415600	5	石英楼梯
106	2	202000	5	玻璃
107	2	309500	5	白色钢化玻璃
108	2	309501	5	橙色钢化玻璃
109	2	309502	5	品红色钢化玻璃
110	2	309503	5	浅蓝色钢化玻璃
111	2	309504	5	黄色钢化玻璃
112	2	309505	5	浅绿色钢化玻璃
113	2	309506	5	粉色钢化玻璃
114	2	309507	5	灰色钢化玻璃
115	2	309508	5	浅灰色钢化玻璃
116	2	309509	5	青色钢化玻璃
117	2	309510	5	紫色钢化玻璃
118	2	309511	5	蓝色钢化玻璃
119	2	309512	5	棕色钢化玻璃
120	2	309513	5	绿色钢化玻璃
121	2	309514	5	红色钢化玻璃
122	2	309515	5	黑色钢化玻璃
123	2	310200	5	玻璃窗格
124	2	416000	5	白色钢化玻璃窗格
125	2	416001	5	橙色钢化玻璃窗格
126	2	416002	5	品红色钢化玻璃窗格
127	2	416003	5	浅蓝色钢化玻璃窗格
128	2	416004	5	黄色钢化玻璃窗格
129	2	416005	5	浅绿色钢化玻璃窗格
130	2	416006	5	粉色钢化玻璃窗格
131	2	416007	5	灰色钢化玻璃窗格
132	2	416008	5	浅灰色钢化玻璃窗格
133	2	416009	5	青色钢化玻璃窗格
134	2	416010	5	紫色钢化玻璃窗格
135	2	416011	5	蓝色钢化玻璃窗格
136	2	416012	5	棕色钢化玻璃窗格
137	2	416013	5	绿色钢化玻璃窗格
138	2	416014	5	红色钢化玻璃窗格
139	2	416015	5	黑色钢化玻璃窗格
140	2	203500	5	白色羊毛
141	2	203501	5	橙色羊毛
142	2	203502	5	品红色羊毛
143	2	203503	5	浅蓝色羊毛
144	2	203504	5	黄色羊毛
145	2	203505	5	浅绿色羊毛
146	2	203506	5	粉色羊毛
147	2	203507	5	灰色羊毛
148	2	203508	5	浅灰色羊毛
149	2	203509	5	青色羊毛
150	2	203510	5	紫色羊毛
151	2	203511	5	蓝色羊毛
152	2	203512	5	棕色羊毛
153	2	203513	5	绿色羊毛
154	2	203514	5	红色羊毛
155	2	203515	5	黑色羊毛
156	2	217100	5	白色地毯
157	2	217101	5	橙色地毯
158	2	217102	5	品红色地毯
159	2	217103	5	浅蓝色地毯
160	2	217104	5	黄色地毯
161	2	217105	5	浅绿色地毯
162	2	217106	5	粉色地毯
163	2	217107	5	灰色地毯
164	2	217108	5	浅灰色地毯
165	2	217109	5	青色地毯
166	2	217110	5	紫色地毯
167	2	217111	5	蓝色地毯
168	2	217112	5	棕色地毯
169	2	217113	5	绿色地毯
170	2	217114	5	红色地毯
171	2	217115	5	黑色地毯
172	2	303000	5	蜘蛛网
173	2	308500	5	橡木栅栏
174	2	311300	5	暗砖栅栏
175	2	313900	5	鹅卵石墙
176	2	313901	5	苔藓鹅卵石墙
177	2	307000	5	石质压力板
178	2	307200	5	木质压力板
179	2	303100	5	枯草
180	2	303101	5	草
181	2	410300	5	西瓜
182	2	409600	5	活板门
183	2	410700	5	木质栅栏门
184	2	403700	5	黄花
185	2	403800	5	红花
186	2	403801	5	兰花
187	2	403802	5	百合
188	2	403803	5	茜草花
189	2	403804	5	红色郁金香
190	2	403805	5	橙色郁金香
191	2	403806	5	白色郁金香
192	2	403807	5	粉色郁金香
193	2	403808	5	雏菊
194	2	404700	5	书架
195	2	410100	5	铁栅栏
196	2	403102	5	高草
197	2	408800	5	魂沙
198	2	405005	5	火把
199	2	407605	5	红石火把
200	2	406500	5	梯子
201	2	432400	5	item木门
202	2	505200	5	刷怪笼
203	2	508900	5	萤石
204	2	516800	5	海晶石
205	2	515200	5	红石块
206	2	616500	5	史莱姆方块
207	2	613800	5	信标
208	2	602500	5	音乐盒
209	2	612300	5	红石灯
