ID	对应的模板Id	方块ID	方块子ID	数量
144	13	17	0	46
145	13	65	0	5
146	13	72	0	1
147	13	85	0	1
148	13	98	0	117
149	13	126	0	13
150	13	126	2	33
151	13	134	0	108
152	13	135	0	2
153	13	160	0	30
154	14	35	0	42
155	14	35	1	69
156	14	35	2	72
157	14	35	3	20
158	14	35	4	20
159	14	35	5	24
160	14	35	6	20
161	14	53	0	2
162	14	65	0	3
163	14	72	0	2
164	14	85	0	12
165	14	155	0	10
166	14	156	0	7
167	14	251	0	60
168	14	251	7	61
169	15	12	0	80
170	15	24	0	120
171	15	24	2	197
172	15	44	1	64
173	15	85	0	56
174	15	126	2	52
175	15	160	1	142
176	16	5	5	59
177	16	25	0	1
178	16	44	5	28
179	16	50	5	8
180	16	53	0	18
181	16	76	5	2
182	16	85	0	23
183	16	89	0	5
184	16	98	0	339
185	16	98	3	6
186	16	109	0	109
187	16	160	1	16
188	16	160	2	17
189	16	160	3	24
190	16	160	4	16
191	16	160	5	12
192	16	160	6	13
193	16	160	9	13
194	16	160	12	16
195	16	164	0	102
196	16	171	14	9
197	17	4	0	40
198	17	5	0	88
199	17	5	2	33
200	17	17	0	11
201	17	53	0	102
202	17	126	0	18
203	18	4	0	14
204	18	5	0	63
205	18	17	0	84
206	18	53	0	14
207	18	85	0	11
208	18	102	0	16
209	18	126	0	60
210	19	17	0	31
211	19	18	0	38
212	19	18	1	100
213	20	44	5	9
214	20	89	0	1
215	20	98	3	1
216	20	139	0	1
217	21	18	1	3
218	21	85	0	1
219	22	2	0	20
220	22	3	0	1
221	22	41	0	4
222	22	44	5	4
223	22	89	0	1
224	22	171	14	16
225	23	41	0	9
226	23	57	0	16
227	23	138	0	1
228	24	251	0	3
229	24	251	1	2
230	24	251	3	4
231	24	251	4	3
232	24	251	5	3
233	24	251	10	2
234	24	251	12	3
235	24	251	14	3
236	24	251	15	3
237	25	85	0	9
238	25	89	0	2
239	26	2	0	24
240	26	3	0	1
241	26	89	0	4
242	26	155	0	12
243	26	156	0	12
244	26	171	14	8
245	26	171	15	12
246	26	251	14	1
247	27	89	0	1
248	27	95	1	2
249	27	95	2	2
250	27	95	4	1
251	27	95	5	2
252	27	95	6	3
253	27	95	7	2
254	27	95	8	2
255	27	95	9	2
256	27	95	11	2
257	28	17	0	4
258	28	18	1	18
259	901	5	0	30
260	901	98	0	30
261	902	53	0	30
262	902	126	0	30
263	903	35	0	30
264	903	35	4	30
265	903	35	11	30
266	903	35	13	30
267	903	35	14	30
268	904	2	0	10
269	904	3	0	10
270	905	4	0	10
271	905	24	0	10
272	906	41	0	10
273	906	155	0	10
274	907	17	0	10
275	907	18	0	10
276	908	5	0	10
277	908	53	0	10
278	908	85	0	10
279	909	95	0	10
280	909	95	4	10
281	909	95	11	10
282	909	95	14	10
283	910	251	0	10
284	910	251	4	10
285	910	251	11	10
286	910	251	14	10
287	911	35	0	10
288	911	35	4	10
289	911	35	11	10
290	911	35	14	10
291	912	50	5	10
292	912	65	0	10
293	912	85	0	10
294	912	89	0	10
295	913	22	0	10
296	913	57	0	10
297	913	123	0	10
298	913	133	0	10
299	913	251	3	10
300	914	5	2	15
301	914	12	0	15
302	914	45	0	70
