序号	名称	分类（1是方块，2是装饰，3是图纸）	图片	物品Id	物品子Id	所属组	权重	备注	数量
47	绿色羊毛	1	set:hidden.json image:box_half_open	35	13	2	1	绿色羊毛	9
48	红色羊毛	1	set:hidden.json image:box_half_open	35	14	2	1	红色羊毛	9
49	黑色羊毛	1	set:hidden.json image:box_half_open	35	15	2	1	黑色羊毛	9
50	铁块	1	set:hidden.json image:box_half_open	42	0	2	1	铁块	8
51	石板	1	set:hidden.json image:box_half_open	44	0	2	1	石板	8
52	砂石板	1	set:hidden.json image:box_half_open	44	1	2	1	砂石板	8
53	木板	1	set:hidden.json image:box_half_open	44	2	2	1	木板	8
54	鹅卵石板	1	set:hidden.json image:box_half_open	44	3	2	1	鹅卵石板	8
55	砖板	1	set:hidden.json image:box_half_open	44	4	2	1	砖板	8
56	石砖板	1	set:hidden.json image:box_half_open	44	5	2	1	石砖板	8
57	暗砖板	1	set:hidden.json image:box_half_open	44	6	2	1	暗砖板	8
58	橡木楼梯	1	set:hidden.json image:box_half_open	53	0	2	1	橡木楼梯	8
59	鹅卵石楼梯	1	set:hidden.json image:box_half_open	67	0	2	1	鹅卵石楼梯	8
60	橡木栅栏	1	set:hidden.json image:box_half_open	85	0	2	1	橡木栅栏	8
61	白色地毯	1	set:hidden.json image:box_half_open	171	0	3	1	白色地毯	9
62	橙色地毯	1	set:hidden.json image:box_half_open	171	1	3	1	橙色地毯	9
63	品红色地毯	1	set:hidden.json image:box_half_open	171	2	3	1	品红色地毯	9
64	浅蓝色地毯	1	set:hidden.json image:box_half_open	171	3	3	1	浅蓝色地毯	9
65	黄色地毯	1	set:hidden.json image:box_half_open	171	4	3	1	黄色地毯	9
66	浅绿色地毯	1	set:hidden.json image:box_half_open	171	5	3	1	浅绿色地毯	9
67	粉色地毯	1	set:hidden.json image:box_half_open	171	6	3	1	粉色地毯	9
68	灰色地毯	1	set:hidden.json image:box_half_open	171	7	3	1	灰色地毯	9
69	浅灰色地毯	1	set:hidden.json image:box_half_open	171	8	3	1	浅灰色地毯	9
70	青色地毯	1	set:hidden.json image:box_half_open	171	9	3	1	青色地毯	9
71	紫色地毯	1	set:hidden.json image:box_half_open	171	10	3	1	紫色地毯	9
72	蓝色地毯	1	set:hidden.json image:box_half_open	171	11	3	1	蓝色地毯	9
73	棕色地毯	1	set:hidden.json image:box_half_open	171	12	3	1	棕色地毯	9
74	绿色地毯	1	set:hidden.json image:box_half_open	171	13	3	1	绿色地毯	9
75	红色地毯	1	set:hidden.json image:box_half_open	171	14	3	1	红色地毯	9
76	黑色地毯	1	set:hidden.json image:box_half_open	171	15	3	1	黑色地毯	9
77	白色钢化玻璃	1	set:hidden.json image:box_half_open	95	0	3	1	白色钢化玻璃	8
78	橙色钢化玻璃	1	set:hidden.json image:box_half_open	95	1	3	1	橙色钢化玻璃	8
79	品红色钢化玻璃	1	set:hidden.json image:box_half_open	95	2	3	1	品红色钢化玻璃	8
80	浅蓝色钢化玻璃	1	set:hidden.json image:box_half_open	95	3	3	1	浅蓝色钢化玻璃	8
81	黄色钢化玻璃	1	set:hidden.json image:box_half_open	95	4	3	1	黄色钢化玻璃	8
82	浅绿色钢化玻璃	1	set:hidden.json image:box_half_open	95	5	3	1	浅绿色钢化玻璃	8
83	粉色钢化玻璃	1	set:hidden.json image:box_half_open	95	6	3	1	粉色钢化玻璃	8
84	灰色钢化玻璃	1	set:hidden.json image:box_half_open	95	7	3	1	灰色钢化玻璃	8
85	浅灰色钢化玻璃	1	set:hidden.json image:box_half_open	95	8	3	1	浅灰色钢化玻璃	8
86	青色钢化玻璃	1	set:hidden.json image:box_half_open	95	9	3	1	青色钢化玻璃	8
87	紫色钢化玻璃	1	set:hidden.json image:box_half_open	95	10	3	1	紫色钢化玻璃	8
88	蓝色钢化玻璃	1	set:hidden.json image:box_half_open	95	11	3	1	蓝色钢化玻璃	8
89	棕色钢化玻璃	1	set:hidden.json image:box_half_open	95	12	3	1	棕色钢化玻璃	8
90	绿色钢化玻璃	1	set:hidden.json image:box_half_open	95	13	3	1	绿色钢化玻璃	8
91	红色钢化玻璃	1	set:hidden.json image:box_half_open	95	14	3	1	红色钢化玻璃	8
92	黑色钢化玻璃	1	set:hidden.json image:box_half_open	95	15	3	1	黑色钢化玻璃	8
93	双层石板	1	set:hidden.json image:box_half_open	43	0	4	1	双层石板	9
94	双层砂石板	1	set:hidden.json image:box_half_open	43	1	4	1	双层砂石板	9
95	双层木板	1	set:hidden.json image:box_half_open	43	2	4	1	双层木板	9
96	双层鹅卵石板	1	set:hidden.json image:box_half_open	43	3	4	1	双层鹅卵石板	9
97	双层砖板	1	set:hidden.json image:box_half_open	43	4	4	1	双层砖板	9
98	双层石砖板	1	set:hidden.json image:box_half_open	43	5	4	1	双层石砖板	9
99	双层暗砖板	1	set:hidden.json image:box_half_open	43	6	4	1	双层暗砖板	9
100	冰	1	set:hidden.json image:box_half_open	79	0	4	1	冰	9
101	玻璃窗格	1	set:hidden.json image:box_half_open	102	0	4	1	玻璃窗格	8
102	砖块楼梯	1	set:hidden.json image:box_half_open	108	0	4	1	砖块楼梯	8
103	石砖楼梯	1	set:hidden.json image:box_half_open	109	0	4	1	石砖楼梯	8
104	暗砖栅栏	1	set:hidden.json image:box_half_open	113	0	4	1	暗砖栅栏	8
105	暗砖楼梯	1	set:hidden.json image:box_half_open	114	0	4	1	暗砖楼梯	8
106	砂石楼梯	1	set:hidden.json image:box_half_open	128	0	4	1	砂石楼梯	8
107	云杉木楼梯	1	set:hidden.json image:box_half_open	134	0	4	1	云杉木楼梯	8
108	桦树木楼梯	1	set:hidden.json image:box_half_open	135	0	4	1	桦树木楼梯	8
109	丛林木楼梯	1	set:hidden.json image:box_half_open	136	0	4	1	丛林木楼梯	8
110	合欢木楼梯	1	set:hidden.json image:box_half_open	163	0	4	1	合欢木楼梯	8
111	暗橡木楼梯	1	set:hidden.json image:box_half_open	164	0	4	1	暗橡木楼梯	8
112	金块	1	set:hidden.json image:box_half_open	41	0	4	1	金块	7
113	双层石英板	1	set:hidden.json image:box_half_open	43	7	4	1	双层石英板	7
114	双层光滑石板	1	set:hidden.json image:box_half_open	43	8	4	1	双层光滑石板	7
115	双层光滑砂石板	1	set:hidden.json image:box_half_open	43	9	4	1	双层光滑砂石板	7
116	石英板	1	set:hidden.json image:box_half_open	44	7	4	1	石英板	7
117	书架	1	set:hidden.json image:box_half_open	47	0	4	1	书架	7
118	火把	1	set:hidden.json image:box_half_open	50	1	4	1	火把	7
119	梯子	1	set:hidden.json image:box_half_open	65	0	4	1	梯子	7
120	铁栅栏	1	set:hidden.json image:box_half_open	101	0	4	1	铁栅栏	7
121	石英楼梯	1	set:hidden.json image:box_half_open	156	0	4	1	石英楼梯	7
122	云杉木栅栏	1	set:hidden.json image:box_half_open	188	0	5	1	云杉木栅栏	8
123	桦木栅栏	1	set:hidden.json image:box_half_open	189	0	5	1	桦木栅栏	8
124	丛林木栅栏	1	set:hidden.json image:box_half_open	190	0	5	1	丛林木栅栏	8
125	暗橡木栅栏	1	set:hidden.json image:box_half_open	191	0	5	1	暗橡木栅栏	8
126	合欢木栅栏	1	set:hidden.json image:box_half_open	192	0	5	1	合欢木栅栏	8
127	白色混凝土	1	set:hidden.json image:box_half_open	251	0	5	1	白色混凝土	8
128	橙色混凝土	1	set:hidden.json image:box_half_open	251	1	5	1	橙色混凝土	8
129	品红色混凝土	1	set:hidden.json image:box_half_open	251	2	5	1	品红色混凝土	8
130	浅蓝色混凝土	1	set:hidden.json image:box_half_open	251	3	5	1	浅蓝色混凝土	8
131	黄色混凝土	1	set:hidden.json image:box_half_open	251	4	5	1	黄色混凝土	8
132	浅绿色混凝土	1	set:hidden.json image:box_half_open	251	5	5	1	浅绿色混凝土	8
133	粉色混凝土	1	set:hidden.json image:box_half_open	251	6	5	1	粉色混凝土	8
134	灰色混凝土	1	set:hidden.json image:box_half_open	251	7	5	1	灰色混凝土	8
135	浅灰色混凝土	1	set:hidden.json image:box_half_open	251	8	5	1	浅灰色混凝土	8
136	青色混凝土	1	set:hidden.json image:box_half_open	251	9	5	1	青色混凝土	8
137	紫色混凝土	1	set:hidden.json image:box_half_open	251	10	5	1	紫色混凝土	8
138	蓝色混凝土	1	set:hidden.json image:box_half_open	251	11	5	1	蓝色混凝土	8
139	棕色混凝土	1	set:hidden.json image:box_half_open	251	12	5	1	棕色混凝土	8
140	绿色混凝土	1	set:hidden.json image:box_half_open	251	13	5	1	绿色混凝土	8
141	红色混凝土	1	set:hidden.json image:box_half_open	251	14	5	1	红色混凝土	8
142	黑色混凝土	1	set:hidden.json image:box_half_open	251	15	5	1	黑色混凝土	8
143	红砂石楼梯	1	set:hidden.json image:box_half_open	180	0	5	1	红砂石楼梯	7
144	天青石块	1	set:hidden.json image:box_half_open	22	0	5	1	天青石块	6
145	钻石块	1	set:hidden.json image:box_half_open	57	0	5	1	钻石块	6
146	萤石	1	set:hidden.json image:box_half_open	89	0	5	1	萤石	6
147	白色钢化玻璃窗格	1	set:hidden.json image:box_half_open	160	0	6	1	白色钢化玻璃窗格	7
148	橙色钢化玻璃窗格	1	set:hidden.json image:box_half_open	160	1	6	1	橙色钢化玻璃窗格	7
149	品红色钢化玻璃窗格	1	set:hidden.json image:box_half_open	160	2	6	1	品红色钢化玻璃窗格	7
150	浅蓝色钢化玻璃窗格	1	set:hidden.json image:box_half_open	160	3	6	1	浅蓝色钢化玻璃窗格	7
151	黄色钢化玻璃窗格	1	set:hidden.json image:box_half_open	160	4	6	1	黄色钢化玻璃窗格	7
152	浅绿色钢化玻璃窗格	1	set:hidden.json image:box_half_open	160	5	6	1	浅绿色钢化玻璃窗格	7
153	粉色钢化玻璃窗格	1	set:hidden.json image:box_half_open	160	6	6	1	粉色钢化玻璃窗格	7
154	灰色钢化玻璃窗格	1	set:hidden.json image:box_half_open	160	7	6	1	灰色钢化玻璃窗格	7
155	浅灰色钢化玻璃窗格	1	set:hidden.json image:box_half_open	160	8	6	1	浅灰色钢化玻璃窗格	7
156	青色钢化玻璃窗格	1	set:hidden.json image:box_half_open	160	9	6	1	青色钢化玻璃窗格	7
157	紫色钢化玻璃窗格	1	set:hidden.json image:box_half_open	160	10	6	1	紫色钢化玻璃窗格	7
158	蓝色钢化玻璃窗格	1	set:hidden.json image:box_half_open	160	11	6	1	蓝色钢化玻璃窗格	7
159	棕色钢化玻璃窗格	1	set:hidden.json image:box_half_open	160	12	6	1	棕色钢化玻璃窗格	7
160	绿色钢化玻璃窗格	1	set:hidden.json image:box_half_open	160	13	6	1	绿色钢化玻璃窗格	7
161	红色钢化玻璃窗格	1	set:hidden.json image:box_half_open	160	14	6	1	红色钢化玻璃窗格	7
162	黑色钢化玻璃窗格	1	set:hidden.json image:box_half_open	160	15	6	1	黑色钢化玻璃窗格	7
163	绿宝石块	1	set:hidden.json image:box_half_open	133	0	6	1	绿宝石块	6
164	红石块	1	set:hidden.json image:box_half_open	152	0	6	1	红石块	6
165	海晶石	1	set:hidden.json image:box_half_open	168	0	6	1	海晶石	6
166	红石灯	1	set:hidden.json image:box_half_open	123	0	6	1	红石灯	5
167	信标	1	set:hidden.json image:box_half_open	138	0	6	1	信标	5
168	海晶灯	1	set:hidden.json image:box_half_open	169	0	6	1	海晶灯	5
